userid;register_time;country;;;;
24892;30/05/2017;TW;;;;
24898;26/02/2017;TW;;;;
24901;25/02/2017;TH;;;;
24902;23/04/2017;TW;;;;
24909;22/04/2017;TH;;;;
24918;12/03/2017;PH;;;;
24926;26/02/2017;TH;;;;
24936;14/02/2017;TW;;;;
24939;22/05/2017;MY;;;;
24943;14/03/2017;VN;;;;
24950;22/03/2017;ID;;;;
24959;29/04/2017;TH;;;;
24969;26/01/2017;ID;;;;
24972;21/04/2017;TH;;;;
24980;16/03/2017;SG;;;;
24990;12/05/2017;VN;;;;
24993;26/02/2017;MY;;;;
25002;11/03/2017;MY;;;;
25005;06/04/2017;MY;;;;
25009;22/04/2017;TW;;;;
25010;06/05/2017;TW;;;;
25015;23/05/2017;PH;;;;
25018;21/03/2017;TH;;;;
25019;06/04/2017;SG;;;;
25020;30/04/2017;TH;;;;
25021;12/04/2017;TW;;;;
25031;13/02/2017;ID;;;;
25037;14/01/2017;TW;;;;
25045;12/05/2017;VN;;;;
25048;25/05/2017;TH;;;;
25053;25/03/2017;MY;;;;
25062;04/05/2017;TH;;;;
25064;12/03/2017;SG;;;;
25073;23/01/2017;TW;;;;
25074;18/04/2017;VN;;;;
25075;15/03/2017;TW;;;;
25084;06/01/2017;TH;;;;
25092;12/05/2017;TW;;;;
25102;10/02/2017;VN;;;;
25103;04/04/2017;PH;;;;
25106;11/01/2017;VN;;;;
25116;13/03/2017;SG;;;;
25120;06/04/2017;TW;;;;
25130;09/05/2017;TH;;;;
25133;01/01/2017;SG;;;;
25140;18/03/2017;PH;;;;
25147;24/03/2017;TH;;;;
25156;04/01/2017;MY;;;;
25165;29/01/2017;PH;;;;
25166;02/02/2017;SG;;;;
25173;21/02/2017;ID;;;;
25174;06/01/2017;TH;;;;
25181;02/04/2017;SG;;;;
25189;22/01/2017;PH;;;;
25197;13/03/2017;TH;;;;
25207;21/01/2017;MY;;;;
25217;28/03/2017;ID;;;;
25222;09/05/2017;ID;;;;
25225;19/05/2017;TH;;;;
25227;09/03/2017;MY;;;;
25230;21/03/2017;TH;;;;
25239;15/01/2017;TH;;;;
25246;06/05/2017;VN;;;;
25250;01/03/2017;ID;;;;
25255;19/01/2017;VN;;;;
25263;11/04/2017;SG;;;;
25267;21/04/2017;TW;;;;
25275;26/04/2017;MY;;;;
25278;04/01/2017;TH;;;;
25286;24/02/2017;PH;;;;
25292;07/02/2017;PH;;;;
25294;30/05/2017;MY;;;;
25295;18/03/2017;SG;;;;
25298;22/02/2017;TW;;;;
25304;27/03/2017;TH;;;;
25314;29/05/2017;ID;;;;
25316;16/01/2017;PH;;;;
25323;12/02/2017;ID;;;;
25333;20/05/2017;PH;;;;
25335;27/02/2017;ID;;;;
25345;28/01/2017;TH;;;;
25349;30/03/2017;MY;;;;
25356;23/02/2017;MY;;;;
25358;12/03/2017;TW;;;;
25367;14/04/2017;TW;;;;
25375;12/05/2017;TH;;;;
25385;19/03/2017;ID;;;;
25388;24/01/2017;VN;;;;
25394;27/04/2017;PH;;;;
25404;20/03/2017;MY;;;;
25410;31/03/2017;MY;;;;
25417;04/03/2017;ID;;;;
25426;24/05/2017;ID;;;;
25432;15/05/2017;PH;;;;
25436;15/03/2017;SG;;;;
25437;02/01/2017;MY;;;;
25441;03/03/2017;TW;;;;
25447;27/03/2017;VN;;;;
25449;22/04/2017;TH;;;;
25450;18/03/2017;TW;;;;
25455;12/05/2017;MY;;;;
25456;03/03/2017;MY;;;;
25463;20/02/2017;PH;;;;
25466;07/01/2017;PH;;;;
25467;12/01/2017;PH;;;;
25472;20/05/2017;MY;;;;
25478;22/03/2017;VN;;;;
25487;20/04/2017;TW;;;;
25494;21/03/2017;VN;;;;
25495;06/05/2017;VN;;;;
25499;15/01/2017;ID;;;;
25500;28/01/2017;TH;;;;
25505;18/02/2017;VN;;;;
25515;02/05/2017;TH;;;;
25523;16/04/2017;TW;;;;
25528;27/03/2017;VN;;;;
25529;03/03/2017;ID;;;;
25536;01/01/2017;VN;;;;
25538;08/02/2017;TW;;;;
25545;12/03/2017;TH;;;;
25548;21/03/2017;VN;;;;
25551;18/04/2017;PH;;;;
25554;18/01/2017;SG;;;;
25558;31/05/2017;SG;;;;
25564;23/05/2017;VN;;;;
25574;12/05/2017;TW;;;;
25582;29/04/2017;ID;;;;
25586;08/01/2017;TH;;;;
25588;17/03/2017;TW;;;;
25595;23/04/2017;TH;;;;
25602;02/03/2017;MY;;;;
25610;30/01/2017;SG;;;;
25614;05/05/2017;MY;;;;
25619;14/04/2017;SG;;;;
25624;09/02/2017;TH;;;;
25625;27/04/2017;VN;;;;
25627;23/03/2017;VN;;;;
25635;10/01/2017;SG;;;;
25638;26/05/2017;VN;;;;
25648;03/04/2017;TW;;;;
25651;18/05/2017;VN;;;;
25658;09/02/2017;TH;;;;
25660;21/04/2017;PH;;;;
25669;03/04/2017;ID;;;;
25676;05/04/2017;SG;;;;
25684;19/01/2017;PH;;;;
25694;08/03/2017;TH;;;;
25698;25/02/2017;PH;;;;
25701;27/03/2017;ID;;;;
25711;01/06/2017;SG;;;;
25718;30/01/2017;PH;;;;
25726;22/05/2017;TH;;;;
25727;10/04/2017;MY;;;;
25732;21/02/2017;TH;;;;
25738;19/04/2017;TH;;;;
25747;11/04/2017;TW;;;;
25752;14/01/2017;VN;;;;
25753;21/03/2017;ID;;;;
25759;16/02/2017;PH;;;;
25763;22/05/2017;TH;;;;
25764;09/04/2017;VN;;;;
25771;08/04/2017;PH;;;;
25773;20/04/2017;PH;;;;
25776;17/03/2017;TH;;;;
25783;30/03/2017;ID;;;;
25784;02/01/2017;MY;;;;
25792;12/01/2017;TW;;;;
25795;03/04/2017;ID;;;;
25804;22/02/2017;SG;;;;
25806;10/02/2017;PH;;;;
25816;26/02/2017;PH;;;;
25824;20/01/2017;MY;;;;
25831;23/04/2017;TH;;;;
25832;30/04/2017;ID;;;;
25841;27/01/2017;ID;;;;
25842;26/05/2017;TH;;;;
25852;15/02/2017;PH;;;;
25856;24/01/2017;ID;;;;
25858;27/02/2017;MY;;;;
25867;16/01/2017;TH;;;;
25876;25/02/2017;MY;;;;
25883;11/05/2017;PH;;;;
25885;07/03/2017;SG;;;;
25886;02/01/2017;VN;;;;
25889;02/03/2017;PH;;;;
25894;25/01/2017;VN;;;;
25902;02/03/2017;TW;;;;
25903;14/03/2017;VN;;;;
25905;11/03/2017;SG;;;;
25907;08/04/2017;PH;;;;
25913;12/02/2017;TW;;;;
25920;07/01/2017;VN;;;;
25924;05/02/2017;TW;;;;
25932;23/05/2017;VN;;;;
25940;26/04/2017;SG;;;;
25948;01/01/2017;SG;;;;
25952;30/01/2017;ID;;;;
25958;21/01/2017;ID;;;;
25966;27/01/2017;VN;;;;
25971;02/02/2017;PH;;;;
25979;31/03/2017;VN;;;;
25982;01/06/2017;TW;;;;
25990;10/02/2017;VN;;;;
25995;04/01/2017;TH;;;;
26003;27/02/2017;ID;;;;
26010;05/04/2017;TW;;;;
26014;02/04/2017;SG;;;;
26021;24/03/2017;TH;;;;
26022;23/01/2017;PH;;;;
26027;19/03/2017;SG;;;;
26029;25/02/2017;SG;;;;
26032;16/01/2017;TW;;;;
26035;30/05/2017;MY;;;;
26042;22/05/2017;PH;;;;
26043;18/02/2017;PH;;;;
26045;27/03/2017;ID;;;;
26055;14/05/2017;PH;;;;
26064;17/01/2017;SG;;;;
26072;08/01/2017;PH;;;;
26078;25/04/2017;PH;;;;
26088;16/04/2017;TH;;;;
26093;19/04/2017;VN;;;;
26099;13/03/2017;SG;;;;
26108;05/03/2017;TW;;;;
26111;25/04/2017;SG;;;;
26117;10/05/2017;VN;;;;
26119;11/05/2017;PH;;;;
26129;04/04/2017;VN;;;;
26137;29/03/2017;TW;;;;
26147;26/02/2017;ID;;;;
26152;23/03/2017;TW;;;;
26155;12/05/2017;TH;;;;
26160;26/01/2017;SG;;;;
26162;03/02/2017;VN;;;;
26164;27/02/2017;TH;;;;
26166;30/05/2017;TH;;;;
26175;19/01/2017;SG;;;;
26178;24/03/2017;ID;;;;
26185;22/02/2017;MY;;;;
26190;18/03/2017;SG;;;;
26197;18/01/2017;VN;;;;
26203;16/04/2017;TH;;;;
26212;15/05/2017;PH;;;;
26216;02/03/2017;SG;;;;
26226;31/05/2017;MY;;;;
26227;16/02/2017;TW;;;;
26232;03/03/2017;ID;;;;
26239;20/04/2017;ID;;;;
26246;20/04/2017;TH;;;;
26250;01/02/2017;MY;;;;
26257;25/01/2017;TW;;;;
26265;17/04/2017;SG;;;;
26268;27/05/2017;MY;;;;
26277;04/03/2017;ID;;;;
26282;21/01/2017;ID;;;;
26283;11/01/2017;SG;;;;
26292;04/04/2017;PH;;;;
26296;09/04/2017;SG;;;;
26304;29/03/2017;VN;;;;
26306;18/03/2017;ID;;;;
26309;09/01/2017;PH;;;;
26315;19/01/2017;VN;;;;
26316;12/04/2017;PH;;;;
26321;21/03/2017;SG;;;;
26331;02/01/2017;SG;;;;
26334;21/03/2017;VN;;;;
26340;16/04/2017;PH;;;;
26346;13/05/2017;SG;;;;
26349;29/04/2017;PH;;;;
26355;12/01/2017;PH;;;;
26365;08/02/2017;TW;;;;
26374;04/05/2017;TH;;;;
26377;13/04/2017;ID;;;;
26385;04/05/2017;PH;;;;
26391;11/01/2017;MY;;;;
26396;03/03/2017;PH;;;;
26404;03/04/2017;VN;;;;
26413;01/05/2017;PH;;;;
26421;22/01/2017;SG;;;;
26424;23/01/2017;TW;;;;
26433;31/01/2017;SG;;;;
26442;06/01/2017;TH;;;;
26452;19/01/2017;VN;;;;
26456;07/05/2017;PH;;;;
26465;27/01/2017;VN;;;;
26474;04/01/2017;SG;;;;
26479;17/03/2017;MY;;;;
26486;09/01/2017;PH;;;;
26496;24/05/2017;TW;;;;
26505;07/01/2017;TW;;;;
26508;25/04/2017;VN;;;;
26511;05/04/2017;PH;;;;
26521;25/03/2017;VN;;;;
26527;19/03/2017;PH;;;;
26536;26/01/2017;SG;;;;
26537;07/02/2017;MY;;;;
26538;21/05/2017;ID;;;;
26547;20/01/2017;MY;;;;
26555;20/04/2017;SG;;;;
26559;13/04/2017;PH;;;;
26564;16/04/2017;VN;;;;
26574;11/04/2017;PH;;;;
26575;05/05/2017;VN;;;;
26576;24/04/2017;VN;;;;
26579;21/01/2017;SG;;;;
26587;05/04/2017;TH;;;;
26588;12/05/2017;VN;;;;
26590;17/05/2017;MY;;;;
26598;06/03/2017;ID;;;;
26604;10/02/2017;TW;;;;
26606;25/03/2017;VN;;;;
26615;21/05/2017;TW;;;;
26620;25/03/2017;VN;;;;
26622;06/05/2017;PH;;;;
26630;02/03/2017;TW;;;;
26632;16/02/2017;ID;;;;
26636;03/04/2017;MY;;;;
26643;18/05/2017;ID;;;;
26645;09/01/2017;SG;;;;
26649;23/05/2017;TH;;;;
26654;26/03/2017;SG;;;;
26661;02/01/2017;VN;;;;
26666;06/05/2017;VN;;;;
26673;05/03/2017;MY;;;;
26680;13/04/2017;PH;;;;
26687;20/03/2017;SG;;;;
26688;03/03/2017;MY;;;;
26690;03/04/2017;TH;;;;
26691;06/02/2017;VN;;;;
26701;01/03/2017;MY;;;;
26710;18/02/2017;MY;;;;
26716;16/04/2017;TW;;;;
26718;16/01/2017;VN;;;;
26725;19/01/2017;VN;;;;
26726;03/05/2017;PH;;;;
26727;06/02/2017;VN;;;;
26730;05/02/2017;PH;;;;
26737;03/01/2017;PH;;;;
26744;11/04/2017;TW;;;;
26753;16/04/2017;PH;;;;
26760;14/03/2017;TW;;;;
26763;21/04/2017;ID;;;;
26769;10/02/2017;SG;;;;
26772;08/03/2017;TW;;;;
26773;12/02/2017;ID;;;;
26781;14/03/2017;ID;;;;
26791;07/01/2017;ID;;;;
26801;25/01/2017;TW;;;;
26802;21/03/2017;PH;;;;
26806;30/03/2017;VN;;;;
26814;25/03/2017;ID;;;;
26823;19/02/2017;PH;;;;
26830;17/05/2017;SG;;;;
26838;02/03/2017;VN;;;;
26843;26/05/2017;PH;;;;
26848;09/04/2017;TH;;;;
26853;14/02/2017;ID;;;;
26858;15/04/2017;MY;;;;
26865;01/02/2017;ID;;;;
26874;29/03/2017;PH;;;;
26883;11/03/2017;ID;;;;
26888;10/01/2017;ID;;;;
26897;27/05/2017;ID;;;;
26905;15/05/2017;MY;;;;
26908;09/03/2017;PH;;;;
26913;02/05/2017;SG;;;;
26919;25/01/2017;PH;;;;
26927;10/01/2017;VN;;;;
26935;18/02/2017;ID;;;;
26944;24/04/2017;TH;;;;
26945;08/02/2017;SG;;;;
26947;28/01/2017;ID;;;;
26956;29/04/2017;TW;;;;
26958;11/04/2017;SG;;;;
26967;02/03/2017;ID;;;;
26971;02/04/2017;VN;;;;
26975;08/04/2017;PH;;;;
26978;12/01/2017;PH;;;;
26986;02/04/2017;TW;;;;
26995;07/02/2017;TW;;;;
27005;04/03/2017;ID;;;;
27007;15/04/2017;TW;;;;
27013;24/02/2017;ID;;;;
27018;15/03/2017;MY;;;;
27020;13/05/2017;TH;;;;
27023;10/03/2017;PH;;;;
27028;18/05/2017;ID;;;;
27037;18/01/2017;TH;;;;
27040;12/04/2017;PH;;;;
27043;06/02/2017;VN;;;;
27050;28/04/2017;SG;;;;
27051;07/05/2017;MY;;;;
27055;28/02/2017;ID;;;;
27065;14/05/2017;PH;;;;
27069;18/01/2017;TH;;;;
27078;18/01/2017;SG;;;;
27082;12/05/2017;PH;;;;
27084;28/05/2017;ID;;;;
27094;10/01/2017;PH;;;;
27098;22/01/2017;ID;;;;
27101;06/05/2017;TH;;;;
27107;20/05/2017;SG;;;;
27113;25/01/2017;TH;;;;
27116;24/01/2017;VN;;;;
27121;21/03/2017;MY;;;;
27123;11/03/2017;SG;;;;
27127;28/01/2017;ID;;;;
27131;09/02/2017;TH;;;;
27141;22/05/2017;PH;;;;
27149;30/04/2017;TW;;;;
27157;08/04/2017;TH;;;;
27158;23/01/2017;ID;;;;
27163;25/01/2017;PH;;;;
27166;05/05/2017;TW;;;;
27170;05/03/2017;ID;;;;
27171;29/05/2017;TH;;;;
27181;11/01/2017;SG;;;;
27184;20/02/2017;ID;;;;
27193;10/05/2017;VN;;;;
27198;09/01/2017;ID;;;;
27199;21/01/2017;ID;;;;
27209;01/03/2017;TW;;;;
27216;05/02/2017;MY;;;;
27222;23/05/2017;TW;;;;
27225;08/04/2017;ID;;;;
27226;23/01/2017;TH;;;;
27227;30/05/2017;MY;;;;
27235;09/01/2017;PH;;;;
27241;29/03/2017;PH;;;;
27242;26/02/2017;MY;;;;
27251;15/01/2017;TW;;;;
27257;20/01/2017;ID;;;;
27264;05/02/2017;TH;;;;
27273;17/01/2017;PH;;;;
27277;14/04/2017;SG;;;;
27279;26/03/2017;VN;;;;
27286;02/03/2017;PH;;;;
27290;08/04/2017;ID;;;;
27298;13/01/2017;VN;;;;
27306;24/05/2017;TH;;;;
27316;31/05/2017;SG;;;;
27318;23/02/2017;ID;;;;
27328;01/04/2017;SG;;;;
27334;03/04/2017;TH;;;;
27336;13/02/2017;VN;;;;
27338;18/02/2017;MY;;;;
27340;10/02/2017;ID;;;;
27344;18/03/2017;SG;;;;
27351;17/02/2017;MY;;;;
27359;08/05/2017;PH;;;;
27367;23/03/2017;ID;;;;
27377;18/04/2017;VN;;;;
27387;15/03/2017;ID;;;;
27395;03/03/2017;SG;;;;
27404;14/05/2017;ID;;;;
27411;12/02/2017;MY;;;;
27421;13/02/2017;PH;;;;
27429;09/04/2017;SG;;;;
27435;05/03/2017;TW;;;;
27442;25/02/2017;MY;;;;
27445;01/02/2017;PH;;;;
27447;23/01/2017;TH;;;;
27454;13/03/2017;SG;;;;
27462;02/01/2017;ID;;;;
27471;28/01/2017;PH;;;;
27476;29/01/2017;VN;;;;
27480;11/05/2017;ID;;;;
27487;17/03/2017;MY;;;;
27492;02/05/2017;SG;;;;
27497;28/01/2017;PH;;;;
27507;06/04/2017;SG;;;;
27511;18/04/2017;TW;;;;
27516;27/03/2017;ID;;;;
27526;23/03/2017;TW;;;;
27535;19/05/2017;SG;;;;
27544;02/04/2017;TW;;;;
27548;08/03/2017;MY;;;;
27555;03/04/2017;ID;;;;
27560;16/03/2017;TW;;;;
27563;12/02/2017;VN;;;;
27571;16/03/2017;VN;;;;
27576;20/02/2017;ID;;;;
27580;10/05/2017;VN;;;;
27586;14/01/2017;SG;;;;
27595;18/03/2017;PH;;;;
27602;23/03/2017;MY;;;;
27604;27/05/2017;TW;;;;
27605;01/06/2017;VN;;;;
27611;18/03/2017;PH;;;;
27612;01/02/2017;SG;;;;
27619;20/02/2017;TH;;;;
27628;01/04/2017;PH;;;;
27632;21/05/2017;ID;;;;
27639;25/03/2017;SG;;;;
27642;06/01/2017;TW;;;;
27650;06/03/2017;MY;;;;
27658;21/04/2017;ID;;;;
27659;08/04/2017;TH;;;;
27663;21/05/2017;ID;;;;
27664;14/05/2017;ID;;;;
27670;12/02/2017;TH;;;;
27676;20/02/2017;VN;;;;
27683;04/05/2017;VN;;;;
27693;26/05/2017;MY;;;;
27697;30/03/2017;TW;;;;
27702;29/05/2017;TH;;;;
27712;11/05/2017;MY;;;;
27718;11/01/2017;PH;;;;
27725;09/04/2017;PH;;;;
27731;19/05/2017;PH;;;;
27739;25/01/2017;VN;;;;
27747;21/04/2017;TW;;;;
27757;25/01/2017;SG;;;;
27764;08/02/2017;MY;;;;
27773;23/03/2017;SG;;;;
27783;10/05/2017;TH;;;;
27786;24/05/2017;MY;;;;
27794;28/03/2017;PH;;;;
27802;25/04/2017;PH;;;;
27811;24/03/2017;TH;;;;
27817;04/03/2017;TH;;;;
27826;31/03/2017;MY;;;;
27827;12/04/2017;ID;;;;
27835;14/04/2017;VN;;;;
27836;13/03/2017;TH;;;;
27838;24/02/2017;MY;;;;
27844;11/02/2017;VN;;;;
27851;18/03/2017;VN;;;;
27856;23/02/2017;PH;;;;
27858;01/06/2017;ID;;;;
27860;23/02/2017;MY;;;;
27861;07/02/2017;TW;;;;
27871;22/05/2017;SG;;;;
27875;11/03/2017;SG;;;;
27882;19/01/2017;PH;;;;
27883;21/05/2017;TH;;;;
27884;03/05/2017;TW;;;;
27887;16/03/2017;MY;;;;
27892;22/01/2017;MY;;;;
27901;04/05/2017;VN;;;;
27906;12/01/2017;ID;;;;
27909;22/03/2017;VN;;;;
27912;30/05/2017;SG;;;;
27917;05/04/2017;MY;;;;
27926;07/02/2017;TH;;;;
27931;18/05/2017;ID;;;;
27933;07/03/2017;MY;;;;
27940;12/01/2017;ID;;;;
27941;25/03/2017;MY;;;;
27948;03/02/2017;PH;;;;
27954;01/02/2017;VN;;;;
27964;18/02/2017;SG;;;;
27970;02/03/2017;MY;;;;
27979;26/02/2017;SG;;;;
27989;28/01/2017;PH;;;;
27998;13/01/2017;TW;;;;
27999;29/05/2017;MY;;;;
28003;30/04/2017;TH;;;;
28011;25/05/2017;PH;;;;
28015;13/04/2017;MY;;;;
28021;20/01/2017;SG;;;;
28030;16/04/2017;MY;;;;
28035;25/01/2017;VN;;;;
28044;04/02/2017;SG;;;;
28045;24/01/2017;TH;;;;
28048;06/01/2017;PH;;;;
28051;21/01/2017;VN;;;;
28057;06/04/2017;TH;;;;
28067;18/05/2017;TW;;;;
28074;30/01/2017;PH;;;;
28083;12/02/2017;VN;;;;
28085;16/02/2017;ID;;;;
28088;27/01/2017;PH;;;;
28091;01/04/2017;VN;;;;
28096;15/05/2017;VN;;;;
28106;04/02/2017;PH;;;;
28107;16/01/2017;PH;;;;
28111;06/01/2017;MY;;;;
28120;23/02/2017;ID;;;;
28121;19/05/2017;TH;;;;
28130;02/01/2017;TW;;;;
28140;17/02/2017;TW;;;;
28149;04/01/2017;ID;;;;
28154;02/04/2017;TW;;;;
28158;18/04/2017;VN;;;;
28159;06/04/2017;VN;;;;
28165;11/01/2017;PH;;;;
28172;24/03/2017;TW;;;;
28181;27/03/2017;MY;;;;
28191;07/05/2017;ID;;;;
28196;24/02/2017;VN;;;;
28205;07/03/2017;ID;;;;
28211;25/01/2017;PH;;;;
28218;04/04/2017;PH;;;;
28220;20/04/2017;SG;;;;
28228;28/01/2017;ID;;;;
28237;31/01/2017;TH;;;;
28247;26/03/2017;SG;;;;
28248;15/03/2017;ID;;;;
28258;13/03/2017;TW;;;;
28267;12/04/2017;VN;;;;
28268;20/02/2017;ID;;;;
28274;17/01/2017;SG;;;;
28276;17/03/2017;SG;;;;
28282;26/02/2017;TW;;;;
28286;08/02/2017;ID;;;;
28290;15/02/2017;TW;;;;
28294;27/03/2017;TH;;;;
28302;05/01/2017;VN;;;;
28304;22/01/2017;VN;;;;
28308;25/01/2017;TW;;;;
28318;31/05/2017;TW;;;;
28320;02/02/2017;TH;;;;
28322;11/02/2017;TH;;;;
28325;03/04/2017;SG;;;;
28331;10/03/2017;MY;;;;
28336;15/01/2017;VN;;;;
28346;01/03/2017;PH;;;;
28351;29/05/2017;TH;;;;
28357;10/03/2017;TW;;;;
28365;07/05/2017;SG;;;;
28373;03/01/2017;SG;;;;
28382;06/05/2017;TH;;;;
28392;04/05/2017;TW;;;;
28401;10/03/2017;PH;;;;
28408;29/04/2017;VN;;;;
28411;07/05/2017;PH;;;;
28415;25/03/2017;SG;;;;
28424;13/05/2017;PH;;;;
28434;13/04/2017;PH;;;;
28442;28/04/2017;SG;;;;
28448;21/02/2017;MY;;;;
28453;29/05/2017;TW;;;;
28456;02/01/2017;PH;;;;
28463;01/03/2017;TW;;;;
28465;16/01/2017;TH;;;;
28468;22/02/2017;MY;;;;
28478;29/01/2017;TW;;;;
28484;07/04/2017;VN;;;;
28489;22/01/2017;TH;;;;
28492;12/05/2017;VN;;;;
28496;16/01/2017;PH;;;;
28498;22/04/2017;PH;;;;
28508;23/02/2017;PH;;;;
28516;29/01/2017;VN;;;;
28521;28/04/2017;VN;;;;
28529;02/05/2017;TW;;;;
28530;09/02/2017;MY;;;;
28534;16/01/2017;TW;;;;
28540;09/03/2017;SG;;;;
28547;28/04/2017;SG;;;;
28554;10/03/2017;PH;;;;
28555;03/01/2017;PH;;;;
28561;27/02/2017;ID;;;;
28564;18/01/2017;SG;;;;
28567;05/03/2017;PH;;;;
28577;20/04/2017;PH;;;;
28584;07/02/2017;ID;;;;
28591;27/03/2017;ID;;;;
28597;23/04/2017;SG;;;;
28600;11/03/2017;TH;;;;
28604;14/05/2017;ID;;;;
28606;20/02/2017;PH;;;;
28613;21/01/2017;SG;;;;
28615;08/03/2017;TH;;;;
28617;23/02/2017;MY;;;;
28625;18/01/2017;MY;;;;
28628;26/02/2017;MY;;;;
28636;20/01/2017;VN;;;;
28646;07/05/2017;ID;;;;
28652;21/01/2017;PH;;;;
28656;20/03/2017;PH;;;;
28666;03/05/2017;TH;;;;
28673;19/03/2017;PH;;;;
28677;27/02/2017;MY;;;;
28686;19/01/2017;MY;;;;
28691;27/02/2017;SG;;;;
28700;01/02/2017;PH;;;;
28704;26/01/2017;TW;;;;
28709;20/01/2017;VN;;;;
28717;28/05/2017;VN;;;;
28722;20/04/2017;VN;;;;
28726;07/04/2017;PH;;;;
28734;22/04/2017;TH;;;;
28744;25/04/2017;TW;;;;
28748;22/01/2017;MY;;;;
28757;15/03/2017;TW;;;;
28760;06/03/2017;TW;;;;
28770;25/01/2017;TW;;;;
28772;28/05/2017;TW;;;;
28775;08/01/2017;PH;;;;
28776;17/04/2017;VN;;;;
28782;10/04/2017;SG;;;;
28787;10/05/2017;ID;;;;
28795;29/01/2017;SG;;;;
28799;13/03/2017;ID;;;;
28800;24/05/2017;MY;;;;
28801;22/05/2017;MY;;;;
28803;27/01/2017;VN;;;;
28813;25/01/2017;PH;;;;
28823;29/03/2017;ID;;;;
28830;27/04/2017;TH;;;;
28839;17/05/2017;PH;;;;
28848;14/03/2017;TH;;;;
28857;14/01/2017;SG;;;;
28866;13/02/2017;SG;;;;
28873;23/02/2017;ID;;;;
28874;02/03/2017;MY;;;;
28875;09/03/2017;ID;;;;
28881;21/01/2017;PH;;;;
28887;10/04/2017;VN;;;;
28893;19/05/2017;MY;;;;
28900;18/03/2017;TH;;;;
28904;01/06/2017;SG;;;;
28913;02/01/2017;SG;;;;
28918;13/04/2017;SG;;;;
28924;13/03/2017;TH;;;;
28934;06/02/2017;TH;;;;
28942;19/02/2017;VN;;;;
28951;07/04/2017;VN;;;;
28954;09/04/2017;SG;;;;
28961;04/01/2017;MY;;;;
28965;09/01/2017;SG;;;;
28972;18/03/2017;ID;;;;
28979;27/03/2017;SG;;;;
28984;27/03/2017;MY;;;;
28991;25/02/2017;VN;;;;
28992;06/02/2017;VN;;;;
29002;03/01/2017;SG;;;;
29009;31/03/2017;MY;;;;
29014;31/05/2017;SG;;;;
29015;11/01/2017;VN;;;;
29020;02/02/2017;TW;;;;
29021;11/04/2017;VN;;;;
29025;14/02/2017;PH;;;;
29034;09/02/2017;ID;;;;
29043;24/02/2017;VN;;;;
29052;27/03/2017;MY;;;;
29062;02/02/2017;TW;;;;
29070;22/05/2017;PH;;;;
29073;17/05/2017;PH;;;;
29079;29/03/2017;SG;;;;
29087;16/04/2017;SG;;;;
29097;02/01/2017;ID;;;;
29100;24/01/2017;ID;;;;
29108;14/02/2017;TW;;;;
29114;20/05/2017;PH;;;;
29116;22/05/2017;TH;;;;
29122;11/03/2017;TH;;;;
29127;31/03/2017;SG;;;;
29136;24/02/2017;SG;;;;
29137;25/05/2017;PH;;;;
29141;21/01/2017;ID;;;;
29147;24/02/2017;VN;;;;
29149;05/01/2017;VN;;;;
29153;25/01/2017;MY;;;;
29157;09/02/2017;TH;;;;
29162;11/01/2017;TH;;;;
29164;15/04/2017;TH;;;;
29167;05/03/2017;SG;;;;
29175;21/01/2017;MY;;;;
29181;19/05/2017;TH;;;;
29189;27/05/2017;TW;;;;
29196;08/05/2017;MY;;;;
29204;27/05/2017;TH;;;;
29211;11/04/2017;VN;;;;
29214;03/04/2017;TH;;;;
29216;26/05/2017;PH;;;;
29219;06/03/2017;TW;;;;
29222;08/03/2017;ID;;;;
29228;03/03/2017;SG;;;;
29233;25/04/2017;ID;;;;
29238;26/02/2017;TW;;;;
29245;10/04/2017;VN;;;;
29248;25/04/2017;SG;;;;
29249;20/01/2017;VN;;;;
29252;19/01/2017;VN;;;;
29260;01/02/2017;MY;;;;
29261;20/04/2017;VN;;;;
29270;24/05/2017;ID;;;;
29279;20/05/2017;TW;;;;
29281;03/01/2017;PH;;;;
29291;02/05/2017;TW;;;;
29300;02/05/2017;SG;;;;
29301;08/03/2017;PH;;;;
29303;22/03/2017;ID;;;;
29310;01/03/2017;TW;;;;
29311;18/04/2017;TH;;;;
29313;17/01/2017;TH;;;;
29319;12/05/2017;TH;;;;
29325;01/05/2017;TH;;;;
29328;23/01/2017;TH;;;;
29330;16/04/2017;MY;;;;
29340;23/02/2017;MY;;;;
29343;07/04/2017;MY;;;;
29352;21/05/2017;SG;;;;
29358;10/01/2017;VN;;;;
29368;11/04/2017;SG;;;;
29375;07/03/2017;ID;;;;
29376;13/04/2017;VN;;;;
29386;05/02/2017;SG;;;;
29388;13/04/2017;ID;;;;
29395;08/02/2017;ID;;;;
29398;03/04/2017;VN;;;;
29407;04/02/2017;TH;;;;
29411;12/05/2017;SG;;;;
29415;28/04/2017;TW;;;;
29416;22/02/2017;VN;;;;
29419;22/05/2017;PH;;;;
29421;19/04/2017;TH;;;;
29422;02/03/2017;TW;;;;
29427;17/03/2017;SG;;;;
29428;14/02/2017;TH;;;;
29431;05/01/2017;TW;;;;
29440;03/02/2017;SG;;;;
29450;28/01/2017;MY;;;;
29460;04/05/2017;VN;;;;
29464;14/03/2017;PH;;;;
29466;23/04/2017;TW;;;;
29468;13/05/2017;SG;;;;
29474;05/02/2017;PH;;;;
29482;01/03/2017;VN;;;;
